year   day  hour  min   field
2018   1  3 51   -6.38
2018   1  3 52   -5.18
2018   1  3 53   -4.70
2018   1  3 54   -4.42
2018   1  3 55   -4.71
2018   1  3 56   -3.79
2018   1  3 57   -3.89
2018   1  3 58   -3.61
2018   1  3 59   -2.23
2018   1  4  0   -5.11
2018   1  4  1   -7.22
2018   1  4  2   -5.43
2018   1  4  3   -4.52
2018   1  4  4   -2.55
2018   1  4  5   -1.40
2018   1  4  6    1.61
2018   1  4  7    2.28
2018   1  4  8    2.70
2018   1  4  9    2.83
2018   1  4 10    2.36
2018   1  4 11    1.32
2018   1  4 12    0.08
2018   1  4 13   -1.72
2018   1  4 14   -3.12
2018   1  4 15   -3.00
2018   1  4 16   -3.70
2018   1  4 17   -3.56
2018   1  4 18   -3.54
2018   1  4 19   -3.20
2018   1  4 20   -2.95
2018   1  4 21   -2.48
2018   1  4 22   -2.58
2018   1  4 23   -2.72
2018   1  4 24   -2.80
2018   1  4 25   -3.44
2018   1  4 26   -2.82
2018   1  4 27   -1.78
2018   1  4 28   -2.82
2018   1  4 29   -3.19
2018   1  4 30   -4.34
2018   1  4 31   -4.16
2018   1  4 32   -3.94
2018   1  4 33   -4.14
2018   1  4 34   -5.22
2018   1  4 35   -4.62
2018   1  4 36   -3.60
2018   1  4 37   -2.42
2018   1  4 38   -1.98
2018   1  4 39   -1.98
2018   1  4 40   -1.89
2018   1  4 41   -4.67
2018   1  4 42   -4.92
2018   1  4 43   -4.15
2018   1  4 44   -4.28
2018   1  4 45   -0.38
2018   1  4 46    3.13
2018   1  4 47    3.01
2018   1  4 48    3.07
2018   1  4 49    2.79
2018   1  4 50    2.28
2018   1  4 51    2.27
2018   1  4 52    2.11
2018   1  4 53    2.49
2018   1  4 54    2.05
2018   1  4 55    3.19
2018   1  4 56    4.37
2018   1  4 57    1.81
2018   1  4 58    1.70
2018   1  4 59    1.64
2018   1  5  0    2.11
2018   1  5  1    1.74
2018   1  5  2    1.57
2018   1  5  3    1.45
2018   1  5  4    1.54
2018   1  5  5    1.38
2018   1  5  6    1.19
2018   1  5  7    1.37
2018   1  5  8    1.34
2018   1  5  9    1.24
2018   1  5 10    1.34
2018   1  5 11    1.26
2018   1  5 12    1.24
2018   1  5 13    1.03
2018   1  5 14    1.30
2018   1  5 15    0.89
2018   1  5 16    0.79
2018   1  5 17    0.44
2018   1  5 18    0.32
2018   1  5 19   -0.04
2018   1  5 20    0.22
2018   1  5 21    0.23
2018   1  5 22    0.02
2018   1  5 23   -0.08
2018   1  5 24   -0.66
2018   1  5 25   -0.15
2018   1  5 26    0.27
2018   1  5 27    0.61
2018   1  5 28    0.51
2018   1  5 29    0.38
2018   1  5 30    0.37
2018   1  5 31    0.48
2018   1  5 32    0.41
2018   1  5 33    0.38
2018   1  5 34    0.41
2018   1  5 35    0.35
2018   1  5 36    0.19
2018   1  5 37    0.52
2018   1  5 38    0.55
2018   1  5 39    0.04
2018   1  5 40   -0.13
2018   1  5 41   -1.04
2018   1  5 42   -0.74
2018   1  5 43   -0.91
2018   1  5 44    0.38
2018   1  5 45   -0.03
2018   1  5 46   -1.31
2018   1  5 47   -0.88
2018   1  5 48   -0.93
2018   1  5 49   -0.83
2018   1  5 50   -0.83
2018   1  5 51   -0.94
2018   1  5 52   -0.49
2018   1  5 53   -0.44
2018   1  5 54   -0.51
2018   1  5 55   -0.41
2018   1  5 56   -0.34
2018   1  5 57   -0.44
2018   1  5 58   -0.15
2018   1  5 59    0.11
2018   1  6  0    0.34
2018   1  6  1    0.42
2018   1  6  2    0.42
2018   1  6  3    0.63
2018   1  6  4    0.38
2018   1  6  5    0.36
2018   1  6  6    0.53
2018   1  6  7    0.76
2018   1  6  8    0.21
2018   1  6  9    0.28
2018   1  6 10    0.39
2018   1  6 11    0.51
2018   1  6 12    0.43
2018   1  6 13    0.28
2018   1  6 14    0.29
2018   1  6 15    0.36
2018   1  6 16    0.24
2018   1  6 17    0.16
